Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
0.0,0.0,-670.4690538477884,563.1785468588529
0.01,0.0,-267.52254169094414,563.1785468588529
0.02,0.0,-202.06498712178848,257.8754455152455
0.03,0.0,-169.30052334598577,197.89646734602766
0.04,0.0,-148.6610341987454,166.83887166084494
0.05,0.0,-134.119373626925,146.98954456256072
0.06,0.0,-123.1586607609953,132.88940179966437
0.07,0.0,-114.51334218664051,122.20478431094068
0.08,0.0,-107.46751370202452,113.745649657186
0.09,0.0,-101.58146471096696,106.83238284992842
0.1,0.0,-96.56813544316694,101.04466912031349
0.11,0.0,-92.231062323056,96.10666486114275
0.12,0.0,-88.43064078878362,91.82880346917644
0.13,0.0,-85.06455684984812,88.0759245046674
0.14,0.0,-82.05588809321608,84.7487018386053
0.15,0.0,-79.34553580114401,81.77227967010228
0.16,0.0,-76.88723246636908,79.08903509234938
0.17,0.0,-74.64417961346622,76.6537801573586
0.18,0.0,-72.58668507084164,74.43051842976695
0.19,0.0,-70.69049547126957,72.39016761267693
0.2,0.0,-68.93557268780265,70.5089454539528
0.21,0.0,-67.30520310200254,68.76718194491578
0.22,0.0,-65.78531477316186,67.14845481461735
0.23,0.0,-64.3639657920578,65.63892624938373
0.24,0.0,-63.03094755245529,64.2268445980092
0.25,0.0,-61.77747385329459,62.90215479581627
0.26,0.0,-60.59593580440365,61.65619938777186
0.27,0.0,-59.479704415924,60.481475341547984
0.28,0.0,-58.422975149404515,59.37144331266768
0.29,0.0,-57.42064441698337,58.32037314927296
0.3,0.0,-56.468197524661136,57.32322468284102
0.31,0.0,-55.56163094784769,56.37553853248017
0.32,0.0,-54.69737460690914,55.473356473128156
0.33,0.0,-53.8722341698744,54.613149909981864
0.34,0.0,-53.083349567604415,53.79175932018112
0.35000000000000003,0.0,-52.32813729649876,53.00635324481502
0.36,0.0,-51.60426848398737,52.2543763136741
0.37,0.0,-50.90963503309397,51.53352254237082
0.38,0.0,-50.24232005853362,50.84170433792573
0.39,0.0,-49.600576429041666,50.17702245802791
0.4,0.0,-48.98281436960816,49.537745983875325
0.41000000000000003,0.0,-48.38757428176116,48.922299922409195
0.42,2.0,-45.81352006784685,48.329236596086005
0.43,1.0,-46.25942673326399,47.757231828180316
0.44,3.0,-43.7241613129785,47.20507063767072
0.45,3.0,-43.206680964174936,46.671629596265866
0.46,1.0,-44.706022475839454,46.155873490544465
0.47000000000000003,4.0,-41.22129463936572,45.65684673888684
0.48,3.0,-41.75166871181214,45.17366576208086
0.49,3.0,-41.296377462227596,44.705506585556236
0.5,4.0,-39.85470563490876,44.251608654081785
0.51,7.0,-36.425987565214406,43.81126148032552
0.52,12.0,-31.009602888031175,43.38380416801757
0.53,9.0,-33.604970815727945,42.96862016674165
0.54,14.0,-28.211547753970205,42.56513250356377
0.55,17.0,-24.82882634804571,42.17280235252072
0.56,10.0,-31.456329760818917,41.791124266248815
0.5700000000000001,20.0,-21.09361071905667,41.41962474547246
0.58,19.0,-21.740250082916816,41.0578603316556
0.59,30.0,-10.395851600739707,40.70541331546747
0.6,23.0,-17.06004095537394,40.36188982943411
0.61,28.0,-11.732469340454848,40.02691889426404
0.62,29.0,-10.412804162080391,39.700152180429775
0.63,35.0,-4.10073261508964,39.38126043188919
0.64,27.0,-11.795958345202848,39.06993155873706
0.65,35.0,-3.4982021642771484,38.76587135246076
0.66,26.0,-12.207197997190903,38.46880205542883
0.67,48.0,10.077305210807763,38.178459261449596
0.68,36.0,-1.644453883294812,37.894592631026896
0.6900000000000001,28.0,-9.372249020277806,37.61696541452293
0.7000000000000001,25.0,-12.105865146593079,37.34535230639115
0.71,30.0,-6.845097699109484,37.07953872992054
0.72,33.0,-3.589751413020008,36.819322267747076
0.73,38.0,1.6603580092282386,36.564507893482315
0.74,32.0,-4.094592287368882,36.31491226324763
0.75,35.0,-0.8544339793025233,36.070358947302864
0.76,36.0,0.38099338912343095,35.830681052650576
0.77,30.0,-5.3881566405333725,35.59571812359465
0.78,33.0,-2.1617379176908815,35.36531757225172
0.79,41.0,6.06038903251305,35.13933444013255
0.8,39.0,4.278359870243486,34.91762901395645
0.81,31.0,-3.5076990426586483,34.700066825651184
0.8200000000000001,42.0,7.702334840950481,34.4865217517944
0.8300000000000001,25.0,-9.0914195080638,34.27687196049796
0.84,37.0,3.1111492517696564,34.07099895773367
0.85,32.0,-1.689851114356514,33.86879187886753
0.86,35.0,1.5056845361460796,33.67014343554404
0.87,37.0,3.6978537164716596,33.47494872359337
0.88,38.0,4.886752986140173,33.283110706658434
0.89,35.0,2.072473897881646,33.094533302056426
0.9,30.0,-2.744895810270977,32.90912543389444
0.91,28.0,-4.5652703076332966,32.726799364139545
0.92,22.0,-10.388569485566542,32.54746997736304
0.93,28.0,-4.214714189106205,32.37105716492616
0.9400000000000001,26.0,-6.043629077984877,32.19748224870154
0.9500000000000001,30.0,-1.8752407192836764,32.02667012684031
0.96,36.0,4.2905209820563215,31.858547366423615
0.97,30.0,-1.5462774551844718,31.69304482606679
0.98,30.0,-1.3855697506442155,31.53009551015229
0.99,39.0,7.772706084504712,31.36963385357398
1.0,277.0,245.9286115622528,31.21159762908567
1.01,14279.0,14248.082205095148,31.055926039952574
1.02,999.0,968.2335431883943,30.902560435207015
1.03,138.0,107.38267996300321,30.75144502490415
1.04,101.0,70.52966930157214,30.602525211191935
1.05,67.0,36.67456198725601,30.455747826729773
1.06,40.0,9.817406657442692,30.311062326781286
1.07,32.0,1.9582517111014206,30.168419597121513
1.08,31.0,1.097142924597215,30.027771954036908
1.09,39.0,9.23412559745795,29.889073621162446
1.1,30.0,0.36924264502583215,29.752279537388823
1.11,40.0,10.502537221061623,29.617346548955265
1.12,37.0,7.6340477109547376,29.48423221735671
1.1300000000000001,28.0,-1.2361848773011688,29.352897680366617
1.1400000000000001,35.0,5.891877603264748,29.22330240682846
1.1500000000000001,32.0,3.0182711538562264,29.095408726608525
1.16,31.0,2.1430332061884028,28.969179684828816
1.17,36.0,7.266197615697905,28.844579041867025
1.18,26.0,-2.612202239015781,28.72157246544939
1.19,34.0,5.5078672590654065,28.600127053813562
1.2,34.0,5.626437819610974,28.48020871310435
1.21,19.0,-9.256460039802398,28.36178644890794
1.22,23.0,-5.140795563179468,28.24482926681052
1.23,20.0,-8.026539901873534,28.12930712607255
1.24,33.0,5.086335077506405,28.0151907012102
1.25,35.0,7.197857269932775,27.902452335669597
1.26,33.0,5.308053378285164,27.79106389605975
1.27,25.0,-2.583050371393964,27.68099891791964
1.28,27.0,-0.47542918357356667,27.5722311752068
1.29,32.0,4.630942452533107,27.464736349227323
1.3,30.0,2.736087663527138,27.358488213938756
1.31,24.0,-3.1599697087347014,27.253464357995725
1.32,18.0,-9.057206060814199,27.149640462704323
1.33,19.0,-7.95560065029596,27.046993878300594
1.34,30.0,3.1448679804911186,26.945502908694888
1.35,25.0,-1.7557777571075954,26.8451468114718
1.36,20.0,-6.657518074350971,26.745902936867395
1.37,23.0,-3.560333659335025,26.647751496140543
1.3800000000000001,29.0,2.5357957535185056,26.550673654224397
1.3900000000000001,21.0,-5.369110523886388,26.454648430284976
1.4000000000000001,28.0,1.7249646745871754,26.35965746609259
1.41,26.0,-0.18195957757538528,26.265683118673195
1.42,29.0,2.9101341241813796,26.172706314541383
1.43,26.0,0.0012624691572149516,26.080709887560268
1.44,34.0,8.091442861907566,25.98967714843011
1.45,41.0,15.180691038057908,25.899590692595464
1.46,22.0,-3.7309765515105786,25.81043478443085
1.47,23.0,-2.6435446480095606,25.722192973055098
1.48,29.0,3.4430015305121624,25.63485047651699
1.49,25.0,-0.47132180348279906,25.548391797609646
1.5,29.0,3.6134979861896492,25.462801677544707
1.51,20.0,-5.302523126426452,25.378066526463826
1.52,24.0,-1.2193725051470143,25.294170847160075
1.53,22.0,-3.1370360832765347,25.211102480286527
1.54,44.0,18.944498536950512,25.128846882310526
1.55,33.0,8.025244945392483,25.047391417047983
1.56,30.0,5.105216255070612,24.966723209896237
1.57,31.0,6.184424148494719,24.886828909415495
1.58,31.0,6.262880546593193,24.807696594677374
1.59,25.0,0.3405973702944194,24.729314583172048
1.6,25.0,0.41758654052679,24.651671192389703
1.61,33.0,8.493858547707285,24.574754262983365
1.62,31.0,6.5694255511828645,24.498553066117502
1.6300000000000001,31.0,6.644297802951942,24.42305615770084
1.6400000000000001,33.0,8.71848555501293,24.348252808897854
1.6500000000000001,27.0,2.7919995362013776,24.274133006128686
1.6600000000000001,26.0,1.8648497600971354,24.200685782139214
1.67,16.0,-8.062953282882818,24.12790112334959
1.68,21.0,-2.991401009670041,24.05576925459855
1.69,23.0,-0.9204826914289836,23.984280877561943
1.7,26.0,2.1498095396530914,23.913425501822775
1.71,24.0,0.21948617399316683,23.843195259568326
1.72,34.0,10.288556033078248,23.773579660381596
1.73,32.0,8.357027461558205,23.704569882775598
1.74,23.0,-0.5750909574985155,23.636158058937582
1.75,25.0,1.4922088821393862,23.568334890543408
1.76,28.0,4.558936278796056,23.501092748198907
1.77,26.0,2.6250981466099548,23.43442233357994
1.78,28.0,4.690702830230961,23.368316494129466
1.79,23.0,-0.24424132569105828,23.302766885197624
