Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
0.0,0.0,-116.62018746544648,97.95826780435475
0.01,0.0,-46.532390530079674,97.95826780435475
0.02,0.0,-35.14682173683503,44.85439206699468
0.03,0.0,-29.44782927833564,34.4217567783691
0.04,0.0,-25.85783334937925,29.01965408772011
0.05,0.0,-23.32848342717378,25.56709740318175
0.06,0.0,-21.421996529659424,23.114544485843027
0.07,0.0,-19.91824544236947,21.25608080992464
0.08,0.0,-18.69270653153953,19.78471435511445
0.09,0.0,-17.66889774323089,18.58223314239281
0.1,0.0,-16.796888030468217,17.57552838292723
0.11,0.0,-16.04250569439699,16.716620724138192
0.12,0.0,-15.381467088633386,15.972537354939242
0.13,0.0,-14.795976412859936,15.319768535617559
0.14,0.0,-14.2726542130994,14.741037145449878
0.15,0.0,-13.801219999918509,14.223323742496307
0.16,0.0,-13.373627385073346,13.756604852539628
0.17,0.0,-12.983474710809803,13.333021126702358
0.18,0.0,-12.625597950159111,12.946310858929666
0.19,0.0,-12.295777809727314,12.591415999306165
0.2,0.0,-11.990529802146352,12.264199389634495
0.21,0.0,-11.706946532191456,11.961240200304193
0.22,0.0,-11.442579679590127,11.679681938454717
0.23,0.0,-11.195352618617019,11.41711717259793
0.24,0.0,-10.963489846197906,11.171501940352284
0.25,0.0,-10.74546298010404,10.941087918360267
0.26,0.0,-10.539948439656413,10.724368658901378
0.27,0.0,-10.34579299424268,10.520039535572739
0.28,0.0,-10.161987537274731,10.326962218922494
0.29,0.0,-9.987643959587588,10.144141073011612
0.3,0.0,-9.821977089232922,9.970698955929237
0.31,0.0,-9.664290267155689,9.805860113260461
0.32,0.0,-9.513963068637889,9.648935992181547
0.33,0.0,-9.370439799602675,9.499313201322247
0.34,0.0,-9.233222463266602,9.356442066674544
0.35000000000000003,0.0,-9.101862177071188,9.219829896268132
0.36,0.0,-8.975953987079064,9.089032337497315
0.37,0.0,-8.855130728695853,8.96364860874966
0.38,0.0,-8.739058913949874,8.843314942895379
0.39,0.0,-8.627435334027558,8.727701189822742
0.4,0.0,-8.519982827343863,8.61650670371778
0.41000000000000003,0.0,-8.416447895356601,8.50945706480899
0.42,1.0,-7.316598199171474,8.406300741507359
0.43,0.0,-8.220219996542466,8.3068075406857
0.44,0.0,-8.127116711360447,8.210765389027973
0.45,0.0,-8.037107264723192,8.117979438959665
