Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
0.0,0.0,-322.2523192885628,270.6845193087026
0.01,0.0,-128.58126887898456,270.6845193087026
0.02,0.0,-97.11993614480203,123.94451697061737
0.03,0.0,-81.37211842278202,95.11638952518268
0.04,0.0,-71.45201295981869,80.18895817395592
0.05,0.0,-64.46275166459351,70.64863298546497
0.06,0.0,-59.194624950247004,63.87158138169847
0.07,0.0,-55.03936458471456,58.73615605799113
0.08,0.0,-51.652878215260074,54.670383240851066
0.09,0.0,-48.82382351717446,51.347610895775105
0.1,0.0,-46.41423147998209,48.565819340891416
0.11,0.0,-44.32967356889196,46.19243164005316
0.12,0.0,-42.50304926218883,44.13633279972433
0.13,0.0,-40.88518473026863,42.33255995906838
0.14,0.0,-39.43910769057042,40.73337313774785
0.15,0.0,-38.13641080916212,39.30279473546657
0.16,0.0,-36.954858931994245,38.013127190368735
0.17,0.0,-35.876764262360545,36.84265295511549
0.18,0.0,-34.88785601846813,35.774070709498965
0.19,0.0,-33.97647720128267,34.7934024497275
0.2,0.0,-33.13299641592166,33.889217674406154
0.21,0.0,-32.34937967190672,33.052061418392576
0.22,0.0,-31.61886470339997,32.27404059658193
0.23,0.0,-30.935711821800748,31.548504999863212
0.24,0.0,-30.29501413456563,30.86980625394721
0.25,0.0,-29.69254829518501,30.233111614465074
0.26,0.0,-29.124657201247736,29.63425924689768
0.27,0.0,-28.58815438859549,29.069643308825967
0.28,0.0,-28.08025131365953,28.536120013015232
0.29,0.0,-27.598493934121738,28.030937055519047
0.3,0.0,-27.140712641015327,27.551670434758822
0.31,0.0,-26.704982919661212,27.0961770062288
0.32,0.0,-26.289588871627082,26.662555143432407
0.33,0.0,-25.892996988685017,26.249107544585605
0.34,0.0,-25.513828257838973,25.854317390760233
0.35000000000000003,0.0,-25.150846001977897,25.476821166167152
0.36,0.0,-24.8029277464847,25.11539363778655
0.37,0.0,-24.46906140453915,24.768924728766873
0.38,0.0,-24.148324534702535,24.43641141219346
0.39,0.0,-23.839879334127676,24.1169400681146
0.4,0.0,-23.542959287119167,23.80968076149587
0.41000000000000003,0.0,-23.25686439676203,23.513873652361745
0.42,0.0,-22.980953793946057,23.228825181098575
0.43,0.0,-22.714635008530333,22.9538994853861
0.44,0.0,-22.457366830366006,22.688509578710438
0.45,0.0,-22.208646434693627,22.43211806561982
0.46,0.0,-21.96801200474742,22.18422641288904
0.47000000000000003,0.0,-21.735033195012537,21.944376380030814
0.48,0.0,-21.509313992247904,21.712140959390265
0.49,0.0,-21.290483893999202,21.48712676033055
