Mass-to-Charge-State Ratio (Da),Uncorrected Count,Corrected Count,Background Estimate
0.0,0.0,-3609.2344477111874,3031.673714645804
0.01,0.0,-1440.1134951358772,3031.673714645804
0.02,0.0,-1087.7458055736163,1388.1817501659793
0.03,0.0,-911.3698145003425,1065.306040709272
0.04,0.0,-800.2643815451456,898.11838080358
0.05,0.0,-721.984478036679,791.2665029442016
0.06,0.0,-662.981337528631,715.3633617129815
0.07,0.0,-616.4423039419974,657.8464729653949
0.08,0.0,-578.5135681031347,612.309705261332
0.09,0.0,-546.8280875829678,575.0945657325697
0.1,0.0,-519.8405781836533,543.9384354680217
0.11,0.0,-496.49348761777594,517.3564131099944
0.12,0.0,-476.03525952454834,494.32806718840135
0.13,0.0,-457.9151279389192,474.12577093726554
0.14,0.0,-441.7190265658587,456.21483352505
0.15,0.0,-427.12878678034235,440.1923199428168
0.16,0.0,-413.8953775273038,425.7480075795684
0.17,0.0,-401.82068632835995,412.6386675345041
0.18,0.0,-390.74489644915826,400.6705170104314
0.19,0.0,-380.5374193644073,389.6870122830965
0.2,0.0,-371.09040977283297,379.5601092301631
0.21,0.0,-362.3138904143047,370.1839385634467
0.22,0.0,-354.13210521942256,361.4700908633186
0.23,0.0,-346.48076891291964,353.3440727251138
0.24,0.0,-339.30494222738594,345.74262502708115
0.25,0.0,-332.55730384548895,338.61163247638086
0.26,0.0,-326.19691062342156,331.9044642158526
0.27,0.0,-320.18806653321593,325.5807531209491
0.28,0.0,-314.49954064984195,319.6052819081868
0.29,0.0,-309.10384426610915,313.94721828838055
0.3,0.0,-303.9766853909838,308.57942069177477
0.31,0.0,-299.096497634499,303.4778870443141
0.32,0.0,-294.4440739968347,298.6213046333878
0.33,0.0,-290.0022292676254,293.9906800822125
0.34,0.0,-285.7555387192104,289.569018915277
0.35000000000000003,0.0,-281.69012257624763,285.3410566221979
0.36,0.0,-277.7934285779811,281.2930564787743
0.37,0.0,-274.0541175373271,277.41259401660204
0.38,0.0,-270.461855439884,273.6884349527674
0.39,0.0,-267.0072600381726,270.11034826969006
0.4,0.0,-263.68175207845,266.66903564322666
0.41000000000000003,0.0,-260.4774885435105,263.355994113576
0.42,0.0,-257.387274914653,260.16344742073136
0.43,1.0,-253.40450604387578,257.0842678031906
0.44,7.0,-244.5230898599349,254.11189970401404
0.45,6.0,-242.73741303607073,251.24030255036854
0.46,9.0,-237.04229902833956,248.4639087918593
0.47000000000000003,17.0,-226.43293368902093,245.77758003151362
0.48,31.0,-209.90486908131436,243.1765383612333
0.49,26.0,-212.45396816623182,240.65637208383998
0.5,34.0,-202.0763838217635,238.212972770574
0.51,44.0,-189.7685302326502,235.84251809495646
0.52,48.0,-183.52706953894298,233.54144894460785
0.53,44.0,-185.34887368903262,231.30645225511023
0.54,64.0,-163.23101681025526,229.13441904833977
0.55,53.0,-172.17077139419564,227.0224444324666
0.56,83.0,-140.16557396441303,224.9678142505153
0.5700000000000001,86.0,-135.21300791030436,222.96798791422754
0.58,73.0,-146.31081111649857,221.02055834974306
0.59,94.0,-123.45685688937112,219.12327870047915
0.6,98.0,-117.64914442030121,217.27403753159953
0.61,120.0,-93.88577589748935,215.4708416638776
0.62,108.0,-104.16496985739707,213.71180854430216
0.63,115.0,-95.48504211126162,211.995164338729
0.64,138.0,-70.84440002305024,210.31923439513804
0.65,160.0,-47.24153297271752,208.68243752158776
0.66,136.0,-69.67500854150818,207.08326882007842
0.67,189.0,-15.143487770745654,205.52030350124886
0.68,183.0,-19.645679385466845,203.99221023581669
0.6900000000000001,190.0,-11.18036077525618,202.497705378213
0.7000000000000001,199.0,-0.7463741795485284,201.0355701327193
0.71,190.0,-8.342620965583574,199.60465627551318
0.72,159.0,-37.96805972105727,198.20386898853133
0.73,176.0,-19.621681458590796,196.8321687668184
0.74,210.0,15.69745986669281,195.48855806708667
0.75,175.0,-18.009737384043085,194.1720889371107
0.76,162.0,-29.74239583046905,192.88187064512132
0.77,201.0,10.500306594636616,191.6170296254861
0.78,169.0,-20.280850003172326,190.37674953302908
0.79,162.0,-26.085106499176085,189.16024835484788
0.8,175.0,-11.911736193580058,187.9667726882683
0.81,169.0,-16.76006388500031,186.79560537023858
0.8200000000000001,183.0,-1.6294181867499766,185.64606356998044
0.8300000000000001,182.0,-1.5191677664615852,184.51748543754994
0.84,177.0,-5.42870799464723,183.40923964057936
0.85,164.0,-17.357464759395743,182.32072917897517
0.86,179.0,-1.304865856144442,181.25137421878048
0.87,165.0,-14.27039439343838,180.20061209217533
0.88,168.0,-10.253523943079909,179.16792400035624
0.89,151.0,-26.253756687099514,178.15278542247412
0.9,167.0,-9.270627232452885,177.15470235525652
0.91,160.0,-15.303681630186968,176.17321131300764
0.92,161.0,-13.352475468091441,175.207860254123
0.93,169.0,-4.4165853147899305,174.25820476639228
0.9400000000000001,155.0,-17.49560681239149,173.32382141843914
0.9500000000000001,171.0,-0.5891489544449513,172.4043153891153
0.96,161.0,-9.696828363893339,171.4992861352269
0.97,172.0,2.1817097260922047,170.60835981645963
0.98,181.0,12.046821989689075,169.7311816659847
0.99,178.0,9.898847934937791,168.86739119492756
1.0,155.0,-12.26188818890947,168.01665652464195
1.01,57307.0,57140.56492642331,167.17865149852707
1.02,11609.0,11443.379602669404,166.35306521877055
1.03,709.0,544.1824266516568,165.5395867875601
1.04,434.0,269.97369400909315,164.73793010261429
1.05,270.0,106.75366986315962,163.94780524695474
1.06,262.0,99.52262505734907,163.168943284437
1.07,211.0,49.28080945432065,162.40107527891655
1.08,198.0,37.02848626817314,161.6439551824315
1.09,158.0,-2.234114665594115,160.89731405883748
1.1,186.0,26.493241256889593,160.16093160937777
1.11,201.0,42.21078101010076,159.43456655446172
1.12,160.0,1.9187239391217616,158.71799668798425
1.1300000000000001,190.0,32.617281759640775,158.01100075751447
1.1400000000000001,173.0,16.306661418974635,157.31337086206125
1.1500000000000001,166.0,9.98705651300038,156.62489814695923
1.16,176.0,20.658668266989203,155.9453899700056
1.17,179.0,24.321678832726896,155.27464701327776
1.18,177.0,22.976271315673504,154.61248617131565
1.19,146.0,-7.377375947082264,153.9587252923334
1.2,144.0,-8.739092247845898,153.31318699291674
1.21,165.0,12.891286445357261,152.67570151904525
1.22,153.0,1.513925118176088,152.04610388507015
1.23,121.0,-29.871020780483214,151.42423101269102
1.24,143.0,-7.263397709063003,150.80992649932745
1.25,139.0,-10.663055940702705,150.20303871077024
1.26,149.0,-0.0698552852844756,149.60341696648462
1.27,132.0,-16.483652691667636,149.01092203002702
1.28,153.0,5.095691076591374,148.42541180393098
